date,open,close,high,low,volume,code
2015-03-19,12549.55,12429.11,12552.71,12337.67,311638344.0,sz
2015-03-20,12427.41,12544.45,12659.83,12387.89,297874055.0,sz
2015-03-23,12644.19,12780.32,12813.83,12644.19,322820798.0,sz
2015-03-24,12841.14,12801.2,12841.45,12495.92,390785341.0,sz
2015-03-25,12776.0,12757.09,12841.9,12656.52,333240450.0,sz
2015-03-26,12703.35,12712.98,12856.21,12601.75,307857598.0,sz
2015-03-27,12779.327,12874.425,12930.242,12930.242,236975839.0,sz
2015-03-30,12917.14,13193.32,13242.31,12894.49,298051198.0,sz
2015-03-31,13420.92,13160.66,13538.29,13106.97,317728594.0,sz
2015-04-01,13187.42,13394.72,13454.81,13142.4,287875627.0,sz
2015-04-02,13486.89,13426.1,13537.38,13235.28,321767130.0,sz
2015-04-03,13336.87,13494.64,13502.47,13296.95,326233579.0,sz
2015-04-07,13626.62,13768.73,13769.76,13625.26,344476953.0,sz
2015-04-08,13814.98,13841.72,13846.55,13513.14,361429213.0,sz
2015-04-09,13898.49,13796.73,13914.01,13505.85,346150570.0,sz
2015-04-10,13718.92,14013.33,14034.31,13650.32,295307916.0,sz
2015-04-13,14100.35,14149.5,14175.36,13972.41,332808102.0,sz
2015-04-14,14132.61,14042.46,14221.51,13920.06,326909093.0,sz
2015-04-15,14023.4,13646.61,14023.4,13646.61,311574168.0,sz
2015-04-16,13549.87,13967.8,14024.68,13492.77,259650094.0,sz
2015-04-17,14120.77,14149.34,14249.47,14039.04,334301246.0,sz
2015-04-20,14132.83,13871.6,14288.33,13814.96,370369416.0,sz
2015-04-21,13882.44,14439.0,14439.0,13882.44,309272608.0,sz
2015-04-22,14529.24,14749.13,14756.15,14510.93,363904289.0,sz
2015-04-23,14842.21,14743.22,14893.01,14647.14,378663766.0,sz
2015-04-24,14615.54,14598.7,14771.29,14422.54,353165959.0,sz
2015-04-27,14749.02,14809.42,14910.31,14644.01,345252659.0,sz
2015-04-28,14946.95,14707.25,14979.81,14580.42,333952855.0,sz
2015-04-29,14669.22,14871.95,14907.96,14542.32,272506011.0,sz
2015-04-30,14909.06,14818.64,15009.73,14818.64,276318705.0,sz
2015-05-04,14846.48,14860.53,14958.79,14714.91,264061794.0,sz
2015-05-05,14831.91,14233.1,14831.91,14145.5,300637801.0,sz
2015-05-06,14347.55,14136.17,14569.64,14032.02,266597218.0,sz
2015-05-07,14080.36,14114.73,14226.08,14027.6,226513292.0,sz
2015-05-08,14271.46,14481.25,14481.44,14165.07,254235473.0,sz
2015-05-11,14572.82,14944.88,14946.65,14447.78,317394179.0,sz
2015-05-12,14975.23,15066.29,15088.96,14879.6,334000961.0,sz
2015-05-13,15075.02,15173.09,15245.81,14962.38,347022211.0,sz
2015-05-14,15210.75,15024.47,15299.79,15003.72,337960219.0,sz
2015-05-15,14955.41,14694.95,14955.41,14590.76,311171360.0,sz
2015-05-18,14612.88,14672.63,14759.09,14564.73,295493125.0,sz
2015-05-19,14723.21,15127.38,15173.92,14704.33,318039850.0,sz
2015-05-20,15206.56,15337.08,15618.13,15206.56,379613287.0,sz
2015-05-21,15402.95,15872.53,15872.59,15402.95,355766470.0,sz
2015-05-22,16084.04,16045.8,16191.15,15731.01,436129070.0,sz
2015-05-25,15894.14,16351.06,16368.91,15810.15,421405387.0,sz
2015-05-26,16456.23,16903.47,16904.15,16397.5,446921466.0,sz
2015-05-27,16988.9,16963.52,17061.92,16610.78,444795218.0,sz
2015-05-28,16953.6,15912.95,17153.8,15909.1,522049636.0,sz
2015-05-29,15920.33,16100.45,16386.05,15299.65,412437255.0,sz
2015-06-01,16247.39,16917.53,16921.07,16245.55,364798783.0,sz
2015-06-02,17051.22,17485.58,17485.58,16963.74,396498446.0,sz
2015-06-03,17626.92,17538.5,17696.48,17098.43,407201738.0,sz
2015-06-04,17579.36,17501.05,17608.72,16426.31,401600049.0,sz
2015-06-05,17727.86,17649.09,17901.86,17302.55,444202411.0,sz
2015-06-08,17648.72,17452.31,17648.72,17145.7,420823903.0,sz
2015-06-09,17410.64,17399.0,17609.28,17184.32,347168452.0,sz
2015-06-10,17297.04,17677.57,17852.36,17165.89,358761346.0,sz
2015-06-11,17692.9,17889.69,17889.91,17606.43,351087908.0,sz
2015-06-12,17978.05,18098.27,18198.07,17921.91,385071961.0,sz
2015-06-15,18182.64,17702.55,18211.76,17668.67,406178348.0,sz
2015-06-16,17502.37,17075.93,17502.37,16911.91,353020384.0,sz
2015-06-17,17073.08,17405.57,17474.08,16564.37,312419167.0,sz
2015-06-18,17367.13,16734.84,17442.77,16709.6,289059707.0,sz
2015-06-19,16386.98,15725.47,16578.88,15700.49,289646424.0,sz
2015-06-23,15720.32,16045.99,16047.32,14938.82,292927731.0,sz
2015-06-24,16178.55,16312.31,16345.75,15867.91,332173442.0,sz
2015-06-25,16370.0,15692.44,16399.34,15499.22,331715691.0,sz
2015-06-26,15196.56,14398.79,15229.0,14321.05,294665860.0,sz
2015-06-29,14703.97,13566.27,14712.16,13250.35,358946932.0,sz
2015-06-30,13274.64,14337.96,14352.05,12723.16,399540089.0,sz
2015-07-01,14185.1,13650.82,14696.98,13578.38,348742096.0,sz
2015-07-02,13655.73,12924.19,13732.49,12727.23,320735082.0,sz
2015-07-03,12475.61,12246.06,13154.13,11953.08,315536177.0,sz
2015-07-06,13140.14,12075.77,13140.14,11584.47,396337977.0,sz
2015-07-07,11660.56,11375.6,11767.66,11282.62,227324024.0,sz
2015-07-08,10870.14,11040.89,11112.62,10850.38,307328584.0,sz
2015-07-09,10953.33,11510.34,11513.36,10933.0,207454532.0,sz
2015-07-10,11733.45,12038.14,12062.9,11696.77,158915229.0,sz
2015-07-13,12367.62,12614.16,12658.07,12261.25,233849125.0,sz
2015-07-14,12796.49,12728.51,13091.93,12635.2,285635144.0,sz
2015-07-15,12783.08,12132.42,12792.31,12093.9,345295414.0,sz
2015-07-16,11963.35,12357.61,12600.65,11637.47,324294156.0,sz
2015-07-17,12460.51,13004.96,13097.45,12435.59,307007633.0,sz
2015-07-20,13115.48,13202.39,13427.86,12942.95,358165176.0,sz
2015-07-21,13038.15,13315.56,13436.91,12928.13,312415716.0,sz
2015-07-22,13307.93,13416.54,13482.04,13098.8,334908918.0,sz
2015-07-23,13432.61,13754.53,13792.37,13356.05,367043495.0,sz
2015-07-24,13789.31,13518.51,13970.84,13424.18,400855945.0,sz
2015-07-27,13242.69,12493.05,13579.64,12488.37,364439025.0,sz
2015-07-28,11986.25,12316.78,12676.27,11719.0,374311038.0,sz
2015-07-29,12472.28,12823.07,12823.15,12078.32,296488758.0,sz
2015-07-30,12766.34,12395.92,12988.55,12382.3,299458538.0,sz
2015-07-31,12228.41,12374.25,12580.96,12213.46,235191524.0,sz
2015-08-03,12178.57,12161.58,12305.61,11909.0,243737069.0,sz
2015-08-04,12163.12,12711.56,12711.56,12105.94,261600708.0,sz
2015-08-05,12694.57,12524.69,12842.31,12447.04,271150796.0,sz
2015-08-06,12274.72,12421.85,12595.12,12231.89,202229163.0,sz
2015-08-07,12543.66,12753.05,12769.13,12522.47,251888055.0,sz
2015-08-10,12877.31,13302.96,13373.3,12821.89,323080729.0,sz
2015-08-11,13316.89,13323.08,13508.3,13240.09,351829896.0,sz
2015-08-12,13201.54,13117.1,13396.33,13117.1,285113797.0,sz
2015-08-13,13069.98,13395.18,13395.18,12962.0,287062466.0,sz
2015-08-14,13497.16,13445.87,13606.33,13378.59,326795175.0,sz
2015-08-17,13417.33,13573.9,13585.96,13309.54,326809217.0,sz
2015-08-18,13608.52,12683.86,13652.54,12634.95,389034910.0,sz
2015-08-19,12328.6,12960.66,13028.5,12049.92,331748528.0,sz
2015-08-20,12864.83,12584.58,13040.36,12582.24,283755729.0,sz
2015-08-21,12355.27,11902.05,12511.42,11891.84,260160790.0,sz
2015-08-24,11399.66,10970.29,11446.1,10964.09,193829365.0,sz
2015-08-25,10212.47,10197.94,10529.92,10168.42,218746759.0,sz
2015-08-26,10199.9,9899.72,10559.24,9776.21,326727168.0,sz
