,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
241,603429,集友股份,-0.136,29.39,29.0,29.9,29.0,29.43,580127.0,0.5945100000000001,17062137.0,39.471,7.107,559585.6,286787.62
242,603421,鼎信通讯,0.114,17.55,17.55,17.93,17.19,17.53,710000.0,1.55715,12453102.0,25.435,3.6029999999999998,777457.1025,80021.331
243,603416,信捷电气,-1.465,22.2,22.5,22.79,22.0,22.53,404576.0,1.15133,9060548.0,25.227,3.257,312043.2,78010.8
244,603399,吉翔股份,-1.12,13.24,13.36,13.38,12.99,13.39,2426129.0,0.47754,31827418.0,31.524,3.332,723897.859276,672659.059276
245,603398,邦宝益智,2.342,14.86,14.37,15.39,14.21,14.52,3595242.0,6.80917,53403015.0,51.241,4.987,315745.28,78460.8
246,603396,金辰股份,-3.207,28.97,30.08,30.08,28.89,29.93,440600.0,2.33245,12993220.0,22.782,2.589,218887.664299,54724.33
247,603393,新天然气,-2.938,34.03,34.58,35.35,33.89,35.06,2264069.0,2.36717,78185700.0,20.624,2.699,544480.0,325478.900488
248,603389,亚振家居,-0.828,11.98,11.94,12.36,11.83,12.08,2256328.0,3.58375,27141144.0,42.786,2.9939999999999998,262314.08,75426.08
249,603388,元成股份,-0.682,11.65,11.72,11.84,11.48,11.73,427700.0,0.5116,4994847.0,24.787,3.067,239808.26,97394.0
250,603387,基蛋生物,-6.694,41.68,44.21,44.45,41.08,44.67,2217142.0,2.40748,94129300.0,24.233,4.571,775434.91396,383846.904216
251,603386,广东骏亚,0.0,23.49,0.0,0.0,0.0,23.49,0.0,0.0,0.0,58.725,7.5120000000000005,474028.2,118624.5
252,603385,惠达卫浴,-1.769,9.44,9.61,9.64,9.42,9.61,1498558.0,0.5682200000000001,14268686.0,11.106,0.882,348710.243136,248958.219088
253,603383,顶点软件,0.174,28.76,28.79,29.26,28.35,28.71,1097528.0,1.92286,31662675.0,21.304,2.622,345734.8888,164156.328
254,603380,易德龙,-1.763,15.6,15.88,15.97,15.42,15.88,915200.0,1.91085,14381644.0,22.941,3.487,249600.0,74715.888
255,603378,亚士创能,-2.79,13.24,13.9,13.95,13.17,13.62,847400.0,1.72939,11373393.0,18.389,2.029,257915.2,64876.0
256,603377,东方时尚,-3.162,12.25,12.75,12.83,12.16,12.65,2040848.0,1.23794,25340430.0,21.875,2.939,720300.0,201951.96875
257,603369,今世缘,-5.244,18.61,19.4,19.4,18.27,19.64,13435062.0,1.07095,252941970.0,26.061,4.026,2334624.5,2334624.5
258,603368,柳药股份,-1.188,32.43,32.79,33.12,32.28,32.82,1184581.0,0.57855,38748148.0,14.945,1.665,840175.169163,664004.25
